created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2025-10-04T17:23:09+00:00,1,108,259,377,34.00000,,,,
2025-10-04T17:23:26+00:00,2,138,238,343,27.00000,,,,
2025-10-04T17:23:43+00:00,3,186,239,313,30.00000,,,,
2025-10-04T17:24:00+00:00,4,102,226,306,32.00000,,,,
2025-10-04T17:24:18+00:00,5,160,291,325,25.00000,,,,
2025-10-04T17:24:34+00:00,6,155,287,356,31.00000,,,,
2025-10-04T17:24:51+00:00,7,129,245,316,30.00000,,,,
2025-10-04T17:25:10+00:00,8,148,252,367,25.00000,,,,
2025-10-04T17:25:27+00:00,9,158,223,388,29.00000,,,,
2025-10-04T17:25:44+00:00,10,116,200,330,29.00000,,,,
2025-10-04T17:26:01+00:00,11,156,205,368,31.00000,,,,
2025-10-04T17:26:17+00:00,12,174,238,385,33.00000,,,,
2025-10-04T17:26:34+00:00,13,172,239,369,29.00000,,,,
2025-10-04T17:26:50+00:00,14,192,213,336,32.00000,,,,
2025-10-04T17:27:06+00:00,15,114,267,356,31.00000,,,,
2025-10-04T17:27:23+00:00,16,144,201,394,29.00000,,,,
2025-10-04T17:27:39+00:00,17,196,235,353,25.00000,,,,
2025-10-04T17:28:23+00:00,18,167,200,376,28.00000,,,,
2025-10-04T17:28:40+00:00,19,124,268,335,25.00000,,,,
2025-10-04T17:28:56+00:00,20,162,235,320,27.00000,,,,
2025-10-04T17:29:13+00:00,21,183,293,308,30.00000,,,,
2025-10-04T17:29:30+00:00,22,128,279,358,25.00000,,,,
2025-10-04T17:29:47+00:00,23,128,286,376,27.00000,,,,
2025-10-04T17:30:04+00:00,24,193,215,380,25.00000,,,,
2025-10-04T17:30:20+00:00,25,166,240,304,34.00000,,,,
2025-10-05T04:40:14+00:00,26,177,228,354,27.00000,,,,
2025-10-05T04:40:31+00:00,27,110,281,390,32.00000,,,,
2025-10-05T04:40:48+00:00,28,116,230,364,27.00000,,,,
2025-10-05T04:41:05+00:00,29,108,292,391,28.00000,,,,
2025-10-05T04:41:22+00:00,30,127,248,316,27.00000,,,,
2025-10-05T04:41:39+00:00,31,108,281,359,30.00000,,,,
2025-10-05T04:41:55+00:00,32,113,260,367,28.00000,,,,
2025-10-05T04:42:12+00:00,33,192,213,389,31.00000,,,,
2025-10-05T04:42:29+00:00,34,159,207,353,29.00000,,,,
2025-10-05T04:42:46+00:00,35,151,278,379,32.00000,,,,
2025-10-05T04:43:02+00:00,36,105,203,363,28.00000,,,,
2025-10-05T04:43:19+00:00,37,188,256,321,28.00000,,,,
2025-10-05T04:43:40+00:00,38,123,298,305,33.00000,,,,
2025-10-05T04:44:00+00:00,39,130,241,338,34.00000,,,,
